Verse No,Verse,Class
112,The Jews say: OThe Christians have naught (to stand) upon”; and the Christians say: OThe Jews have naught (to stand) upon.” Yet they (profess to) study the (same) Book. Like unto their word is what those say who know not but God will judge between them in their quarrel on the Day of Judgment.,Rest_verses
113,And who is more unjust than he who forbids that in places for the worship of God God’s name should be celebrated? Whose zeal is (in fact) to ruin them? It was not fitting that such should themselves enter them except in fear. For them there is nothing but disgrace in this world and in the world to come an exceeding torment.,Pilgrimage
114,To God belong the East and the West; whithersoever ye turn there is the presence of God. For God is All-Pervading All-Knowing.,Rest_verses
115,They say: OGod hath begotten a son”; Glory be to Him. Nay to Him belongs all that is in the heavens and on earth; everything renders worship to Him.,Rest_verses
116,To Him is due the primal origin of the heavens and the earth; when He decreeth a matter He saith to it: OBe”; and it is.,Rest_verses
117,Say those without knowledge: OWhy speaketh not God unto Us? Or why cometh not unto Us a sign?” So said the people before them words of similar import. Their hearts are alike. We have indeed made clear the signs unto any people who hold firmly to faith (in their hearts).,Rest_verses
118,Verily We have sent thee in truth as a bearer of glad tidings and a warner. But of thee no question shall be asked of Companions of the blazing fire.,Rest_verses
119,Never will the Jews or the Christians be satisfied with thee unless thou follow their form of religion. Say: OThe guidance of God that is the (only) guidance.” Wert thou to follow their desires after the knowledge which hath reached thee then wouldst thou find neither protector nor helper against God.,Rest_verses
120,Those to whom We have sent the book study it as it should be studied; they are the ones that believe therein; those who reject faith therein the loss is their own.,Rest_verses
121,O Children of Israel! call to mind the special favor which I bestowed upon you and that I preferred you to all others (for my message).,Rest_verses
122,Then guard yourselves against a day when one soul shall not avail another nor shall compensation be accepted from her nor shall intercession profit her nor shall anyone be helped (from outside).,Rest_verses
123,And remember that Abraham was tried by his Lord with certain commands which he fulfilled; He said: OI will make thee an Imam to the nations.” He pleaded: OAnd also (Imams) from my offspring!” He answered: OBut my promise is not within the reach of evil-doers.”,Rest_verses
124,Remember We made the house a place of assembly for men and a place of safety; and take ye the station of Abraham as a place of prayer; and We covenanted with Abraham and Isma`il that they should sanctify My House for those who compass it round or use it as a retreat or bow or prostrate themselves (therein in prayer).,Pilgrimage
125,And remember Abraham said: OMy Lord make this a City of Peace and feed its people with fruits such of them as believe in God and the Last Day.” He said: O(Yea) and such as reject faith for a while will I grant them their pleasure but will soon drive them to the torment of fire an evil destination (indeed)!”,Rest_verses
126,And remember Abraham and Isma`il raised the foundations of the House (with this prayer): OOur Lord! accept (this service) from us for thou art the All-Hearing the All-Knowing.,Pilgrimage
127,OOur Lord! make of us Muslims bowing to Thy (Will) and of our progeny a people Muslim bowing to Thy (Will) and show us our places for the celebration of (due) rites; and turn unto us (in mercy); for Thou art the Oft-Returning Most-Merciful.,Rest_verses
128,OOur Lord! send amongst them an Apostle of their own who shall rehearse Thy Signs to them and instruct them in Scripture and Wisdom and sanctify them; for Thou art the Exalted in Might the Wise.”,Rest_verses
129,And who turns away from the religion of Abraham but such as debase their souls with folly? Him We chose and rendered pure in this world: and he will be in the Hereafter in the ranks of the righteous.,Rest_verses
130,Behold! his Lord said to him: OBow (thy will to me)” He said: OI bow (my will) to the Lord and Cherisher of the universe.”,Rest_verses
131,And this was the legacy that Abraham left to his sons and so did Jacob; OO my sons! God hath chosen the faith for you; then die not except in the faith of Islam.”,Rest_verses
132,Were ye witnesses when death appeared before Jacob? Behold he said to his sons: OWhat will ye worship after me?” They said: OWe shall worship thy God and the God of thy fathers of Abraham Isma`il and Isaac the one (true) God to Him we bow (in Islam).”,Rest_verses
133,That was a People that hath passed away. They shall reap the fruit of what they did and ye of what ye do! of their merits there is no question in your case!,Rest_verses
134,They say: OBecome Jews or Christians if ye would be guided (to salvation).” Say thou: ONay! (I would rather) the religion of Abraham the true and he joined not gods with God.”,Rest_verses
135,Say ye: OWe believe in God and the revelation given to us and to Abraham Isma`il Isaac Jacob and the Tribes and that given to Moses and Jesus and that given to (all) Prophets from their Lord we make no difference between one and another of them and we bow to God (in Islam).”,Rest_verses
136,So if they believe as ye believe they are indeed on the right path; but if they turn back it is they who are in schism; but God will suffice thee as against them and He is the All-Hearing the All- Knowing.,Rest_verses
137,(Our religion is) the baptism of God; and who can baptize better than God? and it is He whom we worship.,Rest_verses
138,Say: Will ye dispute with us about God seeing that He is our Lord and your Lord; that we are responsible for our doings and ye for yours; and that we are sincere (in our faith) in Him?,Rest_verses
139,Or do ye say that Abraham Isma`il Isaac Jacob and the Tribes were Jews or Christians? Say: Do ye know better than God? Ah! who is more unjust than those who conceal the testimony they have from God? But God is not unmindful of what ye do!,Rest_verses
140,That was a people that hath passed away. They shall reap the fruit of what they did and ye of what ye do! Of their merits there is no question in your case.,Rest_verses
141,The fools among the people will say: OWhat hath turned them from the Qiblah to which they were used?” Say: To God belong both East and West; He guideth whom He will to a Way that is straight.,Rest_verses
142,Thus have We made of you an Ummah justly balanced that ye might be witnesses over the nations and the Apostle a witness over yourselves; and We appointed the Qiblah to which thou wast used only to test those who followed the Apostle from those who would turn on their heels (from the faith). Indeed it was (a change) momentous except to those guided by God. And never would God make your faith of no effect. For God is to all people most surely full of kindness Most Merciful.,Rest_verses
143,We see the turning of thy face (for guidance) to the heavens; now shall We turn thee to a Qiblah that shall please thee. Turn then thy face in the direction of the Sacred Mosque; wherever ye are turn your faces in that direction. The people of the book know well that that is the truth from their Lord nor is God unmindful of what they do.,Rest_verses
144,Even if thou wert to bring to the people of the Book all the signs (together) they would not follow thy Qiblah; nor art thou going to follow their Qiblah; nor indeed will they follow each other’s Qiblah. If thou after the knowledge hath reached thee wert to follow their (vain) desires then wert thou indeed (clearly) in the wrong.,Rest_verses
145,The people of the Book know this as they know their own sons; but some of them conceal the truth which they themselves know.,Rest_verses
146,The truth is from thy Lord so be not at all in doubt.,Rest_verses
147,To each is a goal to which God turns him; then strive together (as in a race) toward all that is good. Wheresoever ye are God will bring you together. For God hath power over all things.,Rest_verses
148,From whencesoever thou startest forth turn thy face in the direction of the Sacred Mosque; that is indeed the truth from thy Lord. And God is not unmindful of what ye do.,Rest_verses
149,So from whencesoever thou startest forth turn thy face in the direction of the Sacred Mosque; among wheresoever ye are turn your face thither that there be no ground of dispute against you among the people except those of them that are bent on wickedness; so fear them not but fear Me; and that I may complete My favors on you and ye may (consent to) be guided.,Rest_verses
150,A similar (favor have ye already received) in that We have sent among you an Apostle of your own rehearsing to you Our signs and sanctifying you and instructing you in Scripture and wisdom and in new Knowledge.,Rest_verses
151, Then do ye remember Me; I will remember you. Be grateful to Me and reject not faith.,Rest_verses
152,O ye who believe! seek help with patient perseverance and prayer: for God is with those who patiently persevere.,Rest_verses
153,And say not of those who are slain in the way of God: OThey are dead.” Nay they are living though ye perceive (it) not.,Rest_verses
154,Be sure We shall test you with something of fear and hunger some loss in goods or lives or the fruits (of your toil) but give glad tidings to those who patiently persevere.,Rest_verses
155,Who say when afflicted with calamity: ” To God we belong and to Him is our return.”,Rest_verses
156,They are those on whom (descend) blessings from God and Mercy and they are the ones that receive guidance.,Rest_verses
157,Behold! Safa and Marwa are among the Symbols of God. So if those who visit the house in the season or at other times should compass them round it is no sin in them. And if anyone obeyeth his own impulse to good be sure that God is He Who recogniseth and knoweth.,Pilgrimage
158,Those who conceal the clear (Signs) We have sent down and the guidance after We have made it clear for the people in the book on them shall be God’s curse and the curse of those entitled to curse.,Fasting
159,Except those who repent and make amends and openly declare (the truth) to them I turn; for I am Oft-Returning Most Merciful.,Rest_verses
160,Those who reject faith and die rejecting on them is God’s curse and the curse of angels and of all mankind.,Rest_verses
161,They will abide therein: Their penalty will not be lightened nor will respite be their (lot).,Rest_verses
162,And your God is one God; there is no god but He Most Gracious Most Merciful.,Rest_verses
163,Behold! In the creation of the heavens and the earth; in the alternation of the night and the day; in the sailing of the ships through the ocean for the profit of mankind; in the rain which God sends down from the skies and the life which He gives therewith to an earth that is dead; in the beasts of all kinds that He scatters through the earth; in the change of the winds and the clouds which they trail like their slaves between the sky and the earth; (here) indeed are signs for a people that are wise.,Rest_verses
164,Yet there are men who take (for worship) others besides God as equal (with God); they love them as they should love God. But those of faith are overflowing in their love for God. If only the unrighteous could see behold they would see the penalty that to God belongs all power and God will strongly enforce the penalty.,Rest_verses
165,Then would those who are followed clear themselves of those who follow (them); they would see the penalty and all relations between them would be cut off.,Rest_verses
166,And those who followed would say: OIf only we had one more chance we would clear ourselves of them as they have cleared themselves of us.” Thus will God show them (the fruits of) their deeds as (nothing but) regrets nor will there be a way for them out of the fire.,Rest_verses
167,O ye people! eat of what is on earth lawful and good; and do not follow the footsteps of the evil one for he is to you an avowed enemy.,Rest_verses
168,For he commands you what is evil and shameful and that ye should say of God that of which ye have no knowledge.,Rest_verses
169,When it is said to them: OFollow what God hath revealed” they say: ONay! we shall follow the ways of our fathers.” What! even though their fathers were void of wisdom and guidance?,Rest_verses
170,The parable of those who reject faith is as if one were to shout like a goat-herd to things that listen to nothing but calls and cries; deaf dumb and blind they are void of wisdom.,Rest_verses
171,O ye who believe! eat of the good things that We have provided for you and be grateful to God if it is Him ye worship.,Fasting
172,He hath only forbidden you dead meat and blood and the flesh of swine and that on which any other name hath been invoked besides that of God but if one is forced by necessity without wilful disobedience nor transgressing due limits then is he guiltless. For God is Oft-Forgiving Most Merciful.,Fasting
173,Those who conceal God’s revelations in the Book and purchase for them a miserable profit they swallow into themselves naught but fire; God will not address them on the Day of Resurrection nor purify them; grievous will be their penalty .,Rest_verses
174,They are the ones who buy error in place of guidance and torment in place of forgiveness. Ah! what boldness (they show) for the Fire!.,Rest_verses
175, (Their doom is) because God sent down the Book in truth but those who seek causes of dispute in the Book are in a schism far (from the purpose).,Rest_verses
176,It is not righteousness that ye turn your faces toward East or West; but it is righteousness to believe in God and the Last Day and the Angels and the Book and the Messengers; to spend of your substance out of love for Him for your kin for orphans for the needy for the wayfarer for those who ask and for the ransom of slaves; to be steadfast in prayer and practice regular charity; to fulfil the contracts which ye have made; and to be firm and patient in pain (or suffering) and adversity and throughout all periods of panic. Such are the people of truth the God-fearing.,Rest_verses
177,O ye who believe! the law of equality is prescribed to you in cases of murder; the free for the free the slave for the slave the woman for the woman. But if any remission is made by the brother of the slain then grant any reasonable demand and compensate him with handsome gratitude; this is a concession and a Mercy from your Lord. After this whoever exceeds the limits shall be in grave penalty.,Rest_verses
178,In the law of equality there is (saving of) life to you O ye men of understanding! that ye may restrain yourselves.,Rest_verses
179,It is prescribed when death approaches any of you if he leave any goods that he make a bequest to parents and next of kin according to reasonable usage; this is due from the God-fearing.,Rest_verses
180,If anyone changes the bequest after hearing it the guilt shall be on those who make the change. For God hears and knows all things.,Rest_verses
181,But if anyone fears partiality or wrong-doing on the part of the testator and makes peace between (the parties concerned) there is no wrong in him; for God is Oft-Forgiving Most Merciful.,Rest_verses
182,O ye who believe! fasting is prescribed to you as it was prescribed to those before you that ye may (learn) self-restraint.,Fasting
183,(Fasting) for a fixed number of days; but if any of you is ill or on a journey the prescribed number (should be made up) from days later. For those who can do it (with hardship) is a ransom the feeding of one that is indigent. But he that will give more of his own free will it is better for him and it is better for you that ye fast if ye only knew.,Fasting
184,Ramadan is the (month) in which was sent down the Qur’an as a guide to mankind also clear (Signs) for guidance and judgment (between right and wrong). So everyone of you who is present (at his home) during that month should spend it in fasting but if anyone is ill or on a journey the prescribed period (should be made up) by days later. God intends every facility for you He does not want to put you to difficulties. (He wants you) to complete the prescribed period and to glorify Him in that He has guided you; and perchance ye shall be grateful.,Fasting
185,When my servants ask thee concerning Me I am indeed close (to them); I listen to the prayer of every suppliant when he calleth on Me; let them also with a will listen to My call and believe in Me; that they may walk in the right way.,Fasting
186,Permitted to you on the night of the fasts is the approach to your wives. They are your garments. And ye are their garments. God knoweth what ye used to do secretly among yourselves; but He turned to you and forgave you; so now associate with them and seek what God hath ordained for you and eat and drink until the white thread of dawn appear to you distinct from its black thread; then complete your fast till the night appears; but do not associate with your wives while ye are in retreat in the mosques. Those are limits (set by) God; approach not nigh thereto. Thus doth God make clear His signs to men that they may learn self-restraint.,Fasting
187,And do not eat up your property among yourselves for vanities nor use it as bait for the judges with intent that ye may eat up wrongfully and knowingly a little of (other) people’s property.,Rest_verses
188,They ask thee concerning the new moons. Say: they are but signs to mark fixed periods of time in (the affairs of) men and for pilgrimage. It is no virtue if ye enter your houses from the back; it is virtue if ye fear God. Enter houses through the proper doors and fear God that ye may prosper.,Rest_verses
189,Fight in the cause of God those who fight you but do not transgress limits; for God loveth not transgressors.,Rest_verses
